DIRECTION_SINGLE_PREPARE,52.502141,13.409519,0.000000,-1.000000,5.000000,1469093212950.880127,-1.000000,"Prinzenstraße",Jetzt,TableViewCellArrowTurnRight,8,1469093213097.758057,GUINavigator
NEXT_DIRECTION,52.502190,13.409556,0.000000,-1.000000,5.000000,1469093216949.276855,-1.000000,"Prinzenstraße",Jetzt,TableViewCellArrowTurnRight,8,1469093217054.724854,GUINavigator
NEXT_DIRECTION,52.502239,13.409592,0.000000,-1.000000,5.000000,1469093219954.674072,-1.000000,"Prinzenstraße",Jetzt,TableViewCellArrowTurnRight,8,1469093220014.333008,GUINavigator
NEXT_DIRECTION,52.502536,13.409822,0.000000,-1.000000,5.000000,1469093238947.758057,-1.000000,"Oranienstraße",In 110 m,ic_nav_roundabout_ccw1_3,14,1469093239007.789062,GUINavigator
NEXT_DIRECTION,52.502585,13.409860,0.000000,-1.000000,5.000000,1469093241939.635010,-1.000000,"Oranienstraße",In 100 m,ic_nav_roundabout_ccw1_3,14,1469093242005.461914,GUINavigator
NEXT_DIRECTION,52.502633,13.409898,0.000000,-1.000000,5.000000,1469093244939.822998,-1.000000,"Oranienstraße",In 100 m,ic_nav_roundabout_ccw1_3,14,1469093244999.134033,GUINavigator
NEXT_DIRECTION,52.502682,13.409936,0.000000,-1.000000,5.000000,1469093247877.644043,-1.000000,"Oranienstraße",In 90 m,ic_nav_roundabout_ccw1_3,14,1469093247915.760010,GUINavigator
NEXT_DIRECTION,52.502732,13.409976,0.000000,-1.000000,5.000000,1469093251942.695068,-1.000000,"Oranienstraße",In 90 m,ic_nav_roundabout_ccw1_3,14,1469093252004.545898,GUINavigator
NEXT_DIRECTION,52.502780,13.410016,0.000000,-1.000000,5.000000,1469093254946.031982,-1.000000,"Oranienstraße",In 80 m,ic_nav_roundabout_ccw1_3,14,1469093255004.362061,GUINavigator
NEXT_DIRECTION,52.502828,13.410055,0.000000,-1.000000,5.000000,1469093259405.582031,-1.000000,"Oranienstraße",In 70 m,ic_nav_roundabout_ccw1_3,14,1469093259432.061035,GUINavigator
NEXT_DIRECTION,52.502877,13.410094,0.000000,-1.000000,5.000000,1469093261940.452148,-1.000000,"Oranienstraße",In 70 m,ic_nav_roundabout_ccw1_3,14,1469093261997.898193,GUINavigator
NEXT_DIRECTION,52.502925,13.410134,0.000000,-1.000000,5.000000,1469093264984.904053,-1.000000,"Oranienstraße",In 60 m,ic_nav_roundabout_ccw1_3,14,1469093265042.731934,GUINavigator
NEXT_DIRECTION,52.502973,13.410173,0.000000,-1.000000,5.000000,1469093268469.528809,-1.000000,"Oranienstraße",In 60 m,ic_nav_roundabout_ccw1_3,14,1469093268546.442871,GUINavigator
NEXT_DIRECTION,52.503021,13.410213,0.000000,-1.000000,5.000000,1469093271073.512939,-1.000000,"Oranienstraße",In 50 m,ic_nav_roundabout_ccw1_3,14,1469093271149.242920,GUINavigator
NEXT_DIRECTION,52.503070,13.410252,0.000000,-1.000000,5.000000,1469093273976.181885,-1.000000,"Oranienstraße",In 50 m,ic_nav_roundabout_ccw1_3,14,1469093274032.812988,GUINavigator
NEXT_DIRECTION,52.503118,13.410291,0.000000,-1.000000,5.000000,1469093276990.127197,-1.000000,"Oranienstraße",In 40 m,ic_nav_roundabout_ccw1_3,14,1469093277050.374023,GUINavigator
NEXT_DIRECTION,52.503166,13.410331,0.000000,-1.000000,5.000000,1469093279872.616943,-1.000000,"Oranienstraße",In 30 m,ic_nav_roundabout_ccw1_3,14,1469093279914.332764,GUINavigator
DIRECTION_SINGLE_PREPARE,52.503166,13.410331,0.000000,-1.000000,5.000000,1469093279872.616943,-1.000000,"Oranienstraße",In 30 m,ic_nav_roundabout_ccw1_3,14,1469093279951.942871,GUINavigator
NEXT_DIRECTION,52.503214,13.410370,0.000000,-1.000000,5.000000,1469093282994.707031,-1.000000,"Oranienstraße",In 30 m,ic_nav_roundabout_ccw1_3,14,1469093283059.220947,GUINavigator
NEXT_DIRECTION,52.503263,13.410410,0.000000,-1.000000,5.000000,1469093285931.774170,-1.000000,"Oranienstraße",In 20 m,ic_nav_roundabout_ccw1_3,14,1469093285957.464844,GUINavigator
NEXT_DIRECTION,52.503311,13.410449,0.000000,-1.000000,5.000000,1469093288863.700928,-1.000000,"Oranienstraße",In 20 m,ic_nav_roundabout_ccw1_3,14,1469093288904.481934,GUINavigator
DIRECTION_SINGLE_PREPARE,52.503311,13.410449,0.000000,-1.000000,5.000000,1469093288863.700928,-1.000000,"Oranienstraße",In 20 m,ic_nav_roundabout_ccw1_3,14,1469093288953.213867,GUINavigator
NEXT_DIRECTION,52.503359,13.410488,0.000000,-1.000000,5.000000,1469093291954.827148,-1.000000,"Oranienstraße",In 10 m,ic_nav_roundabout_ccw1_3,14,1469093292013.473145,GUINavigator
NEXT_DIRECTION,52.503408,13.410528,0.000000,-1.000000,5.000000,1469093294949.530029,-1.000000,"Oranienstraße",Jetzt,ic_nav_roundabout_ccw1_3,14,1469093295017.288086,GUINavigator
DIRECTION_SINGLE_PREPARE,52.503420,13.410604,0.000000,-1.000000,5.000000,1469093298938.183105,-1.000000,"Oranienstraße",In 50 m,ic_nav_roundabout_exit_ccw,16,1469093299024.507080,GUINavigator
NEXT_DIRECTION,52.503920,13.409766,0.000000,-1.000000,5.000000,1469093389957.270996,-1.000000,"Wanderweg",In 50 m,TableViewCellArrowTurnRight,8,1469093390018.197998,GUINavigator
NEXT_DIRECTION,52.503943,13.409685,0.000000,-1.000000,5.000000,1469093392951.848877,-1.000000,"Wanderweg",In 50 m,TableViewCellArrowTurnRight,8,1469093393010.904053,GUINavigator
NEXT_DIRECTION,52.503965,13.409605,0.000000,-1.000000,5.000000,1469093395951.511963,-1.000000,"Wanderweg",In 40 m,TableViewCellArrowTurnRight,8,1469093396011.173096,GUINavigator
NEXT_DIRECTION,52.503988,13.409516,0.000000,-1.000000,5.000000,1469093399961.960938,-1.000000,"Wanderweg",In 40 m,TableViewCellArrowTurnRight,8,1469093400027.928955,GUINavigator
DIRECTION_DOUBLE_PREPARE,52.503988,13.409516,0.000000,-1.000000,5.000000,1469093399961.960938,-1.000000,"Wanderweg",In 40 m,TableViewCellArrowTurnRight,8,1469093400084.506104,GUINavigator
NEXT_DIRECTION,52.504009,13.409438,0.000000,-1.000000,5.000000,1469093402957.951904,-1.000000,"Wanderweg",In 30 m,TableViewCellArrowTurnRight,8,1469093403027.058105,GUINavigator
NEXT_DIRECTION,52.504031,13.409357,0.000000,-1.000000,5.000000,1469093405946.161865,-1.000000,"Wanderweg",In 20 m,TableViewCellArrowTurnRight,8,1469093406003.871826,GUINavigator
NEXT_DIRECTION,52.504055,13.409272,0.000000,-1.000000,5.000000,1469093409971.989990,-1.000000,"Wanderweg",In 20 m,TableViewCellArrowTurnRight,8,1469093410031.794922,GUINavigator
NEXT_DIRECTION,52.504077,13.409192,0.000000,-1.000000,5.000000,1469093412950.052002,-1.000000,"Wanderweg",In 10 m,TableViewCellArrowTurnRight,8,1469093413055.282959,GUINavigator
